Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948687,50,,Aggregated,0.900000,0.000000,450,940,1800,3400,11000,37000,57000,65000,91000,91000,91000,579,0,450.0,4742.3969931565325,34.78272905340418,91287.39571297774,6790303.148531952
1771948688,50,,Aggregated,1.200000,0.000000,450,950,1800,3500,12000,37000,58000,65000,91000,91000,91000,585,0,450.0,4902.159701929424,34.78272905340418,91287.39571297774,6990556.44957265
1771948689,50,,Aggregated,1.600000,0.000000,460,960,2000,3600,12000,38000,64000,77000,91000,91000,91000,591,0,460.0,5299.069921535817,34.78272905340418,91287.39571297774,7327063.03891709
1771948690,50,,Aggregated,2.300000,0.000000,480,1000,2100,3600,14000,44000,67000,81000,91000,91000,91000,600,0,460.0,5832.793625154591,34.78272905340418,91287.39571297774,7830999.073333333
1771948691,50,,Aggregated,2.500000,0.000000,480,1000,2100,3600,14000,52000,68000,79000,91000,91000,91000,608,0,460.0,6003.928145478264,31.738051038701087,91287.39571297774,8011136.0707236845
1771948692,50,,Aggregated,3.200000,0.000000,450,1000,2100,3600,14000,54000,68000,79000,91000,91000,91000,619,0,450.0,6110.473068962599,15.866991016082466,91287.39571297774,8100212.481421648
1771948693,50,,Aggregated,4.100000,0.000000,450,990,2100,3600,14000,54000,68000,79000,91000,91000,91000,627,0,450.0,6138.202219980544,15.866991016082466,91287.39571297774,8134396.797448166
1771948694,50,,Aggregated,5.000000,0.000000,450,1000,2100,3600,14000,54000,68000,79000,91000,91000,91000,632,0,450.0,6263.455251999725,15.866991016082466,91287.39571297774,8316606.996835443
1771948695,50,,Aggregated,5.500000,0.000000,450,1000,2100,3600,14000,54000,68000,79000,91000,91000,91000,644,0,450.0,6229.971561853677,15.053009963594377,91287.39571297774,8365202.22204969
1771948696,50,,Aggregated,6.000000,0.000000,450,1000,2100,3600,14000,54000,68000,79000,91000,91000,91000,651,0,450.0,6249.252072258992,15.053009963594377,91287.39571297774,8409258.19201229
1771948697,50,,Aggregated,7.000000,0.000000,430,1000,2100,3600,17000,54000,68000,79000,91000,91000,91000,665,0,430.0,6387.57554135448,15.053009963594377,91287.39571297774,8677465.717293233
1771948698,50,,Aggregated,7.400000,0.000000,430,1000,2100,3600,17000,54000,68000,79000,91000,91000,91000,674,0,430.0,6388.663532619826,15.053009963594377,91287.39571297774,8708918.986646885
